,Address,Price SAR,Size m²,Details,District
287,  شارع نابلس حي ظهرة لبن  ,15000,50,"محل للايجار مقابل بلدية عرقه شارع ٣٠ الايجار ١٥ الف الفتحه

قابل للتفاوض",حي ظهرة لبن - الرياض
293,"  شارع اسطنبول, السلي,  ",45000,120,"محلات للإيجار جديدة : 

عبارة عن : 3 محلات .

المساحة = 120 م٢ .

ويوجد في كل محل دورة مياه .

✨ مع إمكانية إعطاء المستأجر  2 شهر مجاناً  ✨ .


الموقع :

الرياض - السلي - شارع اسطنبول .

للإستفسار / 

0550278111",حي السلي - الرياض
295,  شارع ابن ماجة حي الفيحاء  ,12000,32,"محل للإيجار عبارة عن فتحة واحد مساحة
م32 وله عداد كهرباء خاص به ويقع في حي الفيحاء تقاطع شارع البيان مع ابن ماجة بجوار مغاسل بونا 
ومحل الخطيب للسباكة .



التويجري للعقارات 
0563666160",حي الفيحاء - الرياض
297,  شارع سبا حي النسيم الشرقي  ,165000,500,"4صالات لاايجار علي  شارع سبا موازين جديده تصلح لجميع الانشطه
في حال عدم الرد عليكم يرجي ارسال الاعلان وت سب وسوف يتم الرد عليكم نظرنا لكثرة الاتصال وشكرا",حي النسيم الشرقي - الرياض
299,  شارع الخليل بن أحمد حي الشفا  ,11500,36,اول سته اشهر مجانا,حي الشفا - الرياض
303,"  شارع المطري, الحزم,  ",10000,60,"3 محلات للايجار
حي الحزم شارع المطري

المساحه ٨*٤ ( 32م ) لكل محل 
 

للمفاهمه مكتب السلامه 

0554666024


0553135552",حي الحزم - الرياض
306,  حي ظهرة لبن  ,30000,48,رقم العرض بالمكتب (م1 :  42 ),حي ظهرة لبن - الرياض
307,  شارع البحار حي الحمراء  ,17000,35,"اي نشاط ماعدا   مغسله  او  حلاق  او  بوفيه 
او مطعم  وجبات سريعه 
للإستفسار مكتب عوض بن حمران للعقارات",حي الحمراء - الرياض
308,  شارع الشيخ محمد بن عبداللطيف بن عبدالرحمن حي السويدي الغربي  ,75000,50,"الباز #السعودية
#للايجار معارض متميزة الرياض حي السويدي الغربي شارع الشيخ محمد بن عبداللطيف شرق محطة المترو 
مواصفات #العقار
٥ معارض تصلح الي اي نشاط تجاري مرخص اغتنم الفرصة للايجار 75 الف ريال السعر للجميع 
استفساركم  0569150911/0544881646/054059423...",حي السويدي الغربي - الرياض
310,  شارع عقيل عطاس حي العارض  ,28000,80,"محلات للايجار تتكون من فتحتين بالإمكان الايجار كاملة أو متفرقة مجموع المساحات 80متر تقريباً .
*الموقع دقيق.",حي العارض - الرياض
312,  طريق الخرج حي المصفاة  ,35000,70,مجمع معارض ومكاتب وشقق على طريق الخرج القديم مجاور لمصفاة ارمكو يخدم المنطقة الصناعية الثانيه و مصفاة ارمكو في موقع متميز يسهل الوصل له من عدة طرق متوفر 24 معرض و 28 مكتب ومنطقة لصراف الي و كشك قهوة بمساحات مناسبة  وقابلة للتوسع واصل جميع الخدمات كهر...,حي المصفاة - الرياض
313,  طريق الأمير تركي بن عبدالعزيز الأول حي الملقا  ,2200,130,"مجمع أغنى بلوك 
يقع على شارع الأمير تركي الأولى ويعتبر إضافة نوعية .. 
ومساحته ٤٠٠٠ م ويتكون من عدة معارض ومكاتب لكل منهما استقلاليته الخاصة ..
لمزيد من التفاصيل التواصل واتس ..
ملاحظة:
٢٢٠٠ للمتر بالسنة للمعرض الصغير .
٢٠٠٠ للمتر بالسنة للمعرض الكبي...",حي الملقا - الرياض
315,  حي الرمال  ,20000,56,"نرحب بجميع عروضكم وطلباتكم
للايجار
5 محلات تجارية ولكل فتحه دورة مياة
الموقع :حي الرمال
شارع يحيى المعلمي
يمتاز الشارع بتعدد الانشطه التجارية والكثافه السكانية

للاستفسار مكتب انجاز داركم للعقارات
0569991661 - 0560232999",حي الرمال - الرياض
321,  طريق ابي بكر الصديق حي النرجس  ,270000,500,"مؤسسة الباز للإستثمار العقاري #السعودية

#للإيجار #معرض كبير مع دور علوي علي مستوي متميز ورائع منطقة الرياض حي #النرجس  طريق أنس بن مالك
مواصفات العقار
 يتميز المعرض مع دور علوي متميز يصلح الي الكثير من النشاطات التجارية المربحة للمستثمرين الراغبين ف...",حي العارض - الرياض
323,  شارع هلال بن محفوظ حي الزهرة  ,6000,22,محل للايجار المساحة ٢٢ م حي الزهرة شارع الكسائي بالقرب من شارع حمزة مقابل محل الغاز,حي الزهرة - الرياض
324,  طريق الأمير سعد بن عبدالرحمن الأول حي السلام  ,25000,21,"يوجد لدينا محلين للايجار على شارع ال١٠٠ بمساحة ٢١ متر للمحل الواحد 

كل محل يوجد فيه دورة مياه",حي السلام - الرياض
325,  شارع الامير سعود بن عبدالعزيز ال سعود الكبير حي الملك فيصل  ,15000,40,"خمس محلات للإيجار مساحة ٦٠  ممكن التأجير لمحل واحد إيجار فتحة واحده او اكثر الموقع مميز
للتواصل
ابو عبدالإله
0553582027",حي الملك فيصل - الرياض
330,  شارع ال داود حي الحمراء  ,20000,150,محلات للإيجار خمس  فتحات السعر الفتحه الواحدة,حي الحمراء - الرياض
331,  طريق ابو عبيدة عامر بن الجراح حي الفيحاء  ,25000,75,"السلام عليكم
الحبيشي العقارية فرع 2 تقدم لكم 
عرض ولا في الاحلام 
للايجار فتحتين (محلين) 
بحي الفيحاء بالرياض،  بعد اشارة (نادك) بالقرب من طريق اسطنبول مع ابي عبيدة الجراح باتجاه الغرب 500 متر 
المواصفات :
واجهة المحل سكرين زجاج
المساحة 75متر
مكيفات ...",حي السلي - الرياض
332,  شارع الدهناء حي الملقا  ,35000,83,ثلاث محلة الإيجار,حي الملقا - الرياض
334,  شارع زيد بن ثابت حي الملز  ,12000,30,,حي الملز - الرياض
338,  شارع عبدالله بن شايق حي قرطبة  ,37500,72,"محلات للإيجار حي قرطبة شارع دباس بن راشد 
الأطوال ٤ × ١٨ م
موقع ممتاز جدا يصلح لجميع الأنشطة",حي قرطبة - الرياض
339,  شارع الشيخ عبدالعزيز بن عبدالرحمن بن بشر حي الخليج  ,30000,75,"محل فتحتين الطول ٨.٢٠ * عرض ٩.٢٠م علي شارع عبدالعزيز بن بشر 
عداد كهرباء مستقل",حي الخليج - الرياض
340,  شارع المهندس مساعد العنقري حي الورود  ,20000,60,"محل للايجار 
مقابل ملاهي الخيمه 
موقع حيوي بالورود 
للتواصل 0552339770",حي الورود - الرياض
344,  شارع ينبع حي ظهرة لبن  ,20000,54,محل للايجار في حي لبن على شارع ينبع قريبه من بنده ٢٠ الف دفعتين المساحه ٥٤متر,حي ظهرة لبن - الرياض
348,  طريق الأمير محمد بن سلمان بن عبدالعزيز حي العقيق  ,42000,22,"معارض ومحلات للاجار بحي العقيق شمال الرياض تقاطع طريق الامير محمد بن سلمان وشارع قناه السويس عرض ٤.٥ طول ه متر  بالإضافة إلي معارض ومساحات مختلفة 
للتواصل ابو راكان 
مواعيد الزيارة من ١٠ صباحا حتي ١٠ المسا",حي العقيق - الرياض
349,  شارع أبي جعفر المنصور حي غرناطة  ,120000,176,"بسم الله
اربع فتحات للايجار بالكامل متشتطبه جاهزه بالمكيفات بالديكورات  
علي شارع ابو جعفر المنصور

يوجد حمام مع غرفه بالداخل 
مكيفات اسبيليت راكبه 
جميع الديكورات راكبه 
اللوحه موجوده محتاجه البنر فقط 
للمشاهده الرجاء التواصل",حي غرناطة - الرياض
350,  حي الحزم  ,8500,32,"مكتب او محل للايجار بحي الحزم 

المساحة ٣٢م


قيمة الايجار ٨٥٠٠ريال  بالسنه 

ملاحظة
رسوم توثيق العقد والقيمة المضافة على المستاجر",حي الحزم - الرياض
352,  شارع علي البجادي حي الرمال  ,60000,64,"محلات للايجار بصناعية الرمال

كل محل 64م (4م في 16م)

النشاط قطع غيار 

السعر 60 الف ريال

0568191192
0501690778",حي الرمال - الرياض
353,  شارع ايوب بن مكرز حي الملك فيصل  ,25000,48,معارض للايجار  + شقق مكتبية  شار ع الحسن بن علي  حي الملك فيصل,حي الملك فيصل - الرياض
358,  شارع سعيد بن المبارك حي الفوطة  ,15000,28,"البطحاء 
محل مساحه ٨ * ٣.٥٠ 
اجمالي المساحه ٢٨ متر",حي الفوطة - الرياض
359,  شارع المطيب حي الحزم  ,17000,28,"السلام عليكم ورحمة الله وبركاتة

يتوفر لدينا 

محلات تجاريه  
عدد ٢ فتحه 
بجوار بعض يمكن الإيجار لفتحه واحده او للفتحتين
عدد ١ دورات مياه لكل فتحه
المساحه 4*7 لكل فتحه
تناسب  لأغلب الانشطه التجاريه
على شارع المطري 
شارع تجاري نشيط بالقرب من شارع المش...",حي الحزم - الرياض
360,  طريق الحائر حي الدار البيضاء  ,60000,600,"✨✨✨✨✨✨✨✨✨
مكتب مع حوش تأجير سيارات 

غرفه مع خدمات

المساحه ٦٠٠ متر 

العرض ١٥ متر
العمق ٤٠ متر 

يفتح غرب على طريق الحائر بعرض ٦٠ متر 

مطلوب نشاط يخدم الحي
 
طريق الحائر مقابل مسجد الامير فيصل بن محمد


✨✨✨✨✨✨✨✨✨✨✨",حي الدار البيضاء - الرياض
361,  شارع الامير بندر بن عبدالعزيز حي الخليج  ,45000,750,"نرحب بعروضكم وطلباتكم

المساحة 750 متر2) 
-صالة ميزانين جديده عدد ثلاث صالات لإيجار على طريق الامير بندر مقابل مكتب الأشراف التربوي بالروضة . 
الموقع: طريق الامير بندر بن عبدالعزيز
0560232999
0569991661",حي الخليج - الرياض
368,  شارع اسطنبول حي السلي  ,135000,360,"محل للإيجار جديدة : 

المساحة = 360 م٢ .

ويوجد في كل محل دورة مياه .

• مع إمكانية إعطاء المستأجر  4 أشهر مجاناً .

الموقع :

الرياض - السلي - شارع اسطنبول .

للإستفسار :

0550278111",حي السلي - الرياض
369,  شارع عبدالملك بن هشام حي السويدي  ,15000,50,محل يستخدم لجميع الاغراض,حي السويدي - الرياض
370,  شارع يحيى بن جابر الطائي حي الشرق   رماح,30000,90,"محلات وشقق في حي البيان بموقع ممتاز اول الحي 
في قمة الجبل خلف محطة جرش 
يتكون من 27شقة كبيرة وصغيرة 
و19معرض ويوجد سلالم طورى ونظام السلامة والدفاع المدني 
مصاعد 
مواقف سيارات خاص لكل محل وشقة",حي الشرق - الرياض
371,  شارع الصحابة حي اليرموك  ,600000,810,"السلام عليكم
محلات تجارية
على طريق الصحابة
6 محلات كل مساحة محل /135
كلها مزانين
جميع مساحة المحلات/810
موقع مميز جدا الصحابة مع تقاطع مخرج9
العمارة مؤجرة شقق فندقية
فرصه مميزه
لتواصل/0533800448",حي اليرموك - الرياض
373,  حي الحزم  ,25000,50,للايجار محلات تجاريه.  على شارع المشتل فتحتينى المحل 25الف,حي الحزم - الرياض
374,  حي العارض  ,20000,40,"بسم الله توكلنا على الله 

محل على شارع القوات  يفتح جنوب 

مساحه المحل ( 4 عرض x عمق 10 )  


السعر 20 الف من غير الضريبة 



المعاينه : الموقع صحيح 

للتواصل عن طريق الواتس اب فقط",حي العارض - الرياض
376,  طريق العروبة الفرعي حي الرائد  ,726000,1210,"صالات تجارية مطلة على طريق العروبة للايجار بمجمع 
                              العروبة الطبي                           

                 سعر المتر المربع 600 ريال 

- الصالة رقم 1 / 2 ( 16 عرض * 35 طول ) => 280 م كل صالة

- الصالة رقم 3 / 4 / 5 ( 2...",حي الرائد - الرياض
377,  طريق الامام سعود بن فيصل حي العقيق  ,35000,28,"محل للإيجار على طريق الإمام سعود بن فيصل قريب لطريق الملك فهد ..
سعر الإيجار قابل للتفاوض ..",حي العقيق - الرياض
380,  حي ظهرة لبن  ,10000,48,"يوجد أربع محلات بمساحات مختلفة وإذا تم أخذ المحلات كاملة تكون معها غرفة مع دورة مياه
إذا فتحتين مع بعض",حي ظهرة لبن - الرياض
382,  شارع السنبله حي النرجس  ,22500,30,"✨✨✨✨✨ ✨✨✨✨✨✨ ✨
تم تاجير عدد ( ٤ ) محلات 
( مغاسل ملابس / بوفيه / وكالة سفر وسياحة )

عدد (٤) محلات متاح للتاجير

العرض ٤ الطول ٧.٤٢
مساحة المحل الواحد ٣٠ متر 

مطلوب في المحل الواحد ٢٢٥٠٠ الف ريال

مطلوب نشاط يخدم الحي

✨✨✨✨✨ ✨✨✨✨✨✨ ✨",حي النرجس - الرياض
383,  طريق العروبة الفرعي حي الرائد  ,420000,700,"صالات تجارية مطلة على طريق العروبة للايجار بمجمع
                              العروبة الطبي 
                        
                 سعر المتر المربع 600 ريال 

- الصالة رقم 1 / 2 ( 16 عرض * 35 طول ) => 280 م كل صالة

- الصالة رقم 3 / 4 / 5 ( 26 ع...",حي الرائد - الرياض
387,  شارع المدينة المنورة حي ظهرة البديعة  ,1300000,1000,مبنى مستقل يتكون من دورين ومواقف خارجيه تتسع الي ٤٠ موقف يوج فيه مصعد,حي ظهرة البديعة - الرياض
388,  شارع المدينة المنورة حي طويق  ,45000,150,"ثلاث محلات على شارع المدينة حسب الموقع المرفق
للايجار
جديدة لم تستأجر من قبل مفتوحة على بعض وكل محل بعداد مستقل",حي طويق - الرياض
389,  حي المونسية  ,40000,40,"للايجار عدد ٢محل  مفتوحين علي بعض 
المساحه ٤٠ متر 
مطلوب ٤٠ الف  للفتحتين 
للإستفسار مكتب عوض بن حمران للعقارات",حي المونسية - الرياض
390,  شارع عبادة بن الصامت حي الروضة  ,20000,36,"يوجد ثلاث محلات متجاورة في العماره 
كل محل ب ٢٠٠٠٠ ريال",حي الروضة - الرياض
392,"  شارع نجم الدين الأيوبي, طويق,  ",60000,550,"عمارة تجاريه زاويه شارع نجم الدين الايوبي عباره عن ٤ صالات مع ميزان 
٢ صاله كل واحده ٤*١٨ مع ميزان ٥٠٪‏ سعر ٧٠٠٠٠ للصاله الواحده
٢ صاله كل واحده ٤*١٢ مع ميزان ٥٠٪‏ سعر ٦٠٠٠٠ للصاله الواحده
٧ شقق مكتبيه مدخل جانبي مع مصعد كل شقه غرفتين وصاله ومطبخ ودو...",حي طويق - الرياض
393,  شارع المدينة المنورة حي ظهرة نمار  ,8000,28,"عدد 2 محلات
المساحة ٤*٧= ٢٨م",حي طويق - الرياض
394,  شارع حفصة بنت عمر حي الروضة  ,28000,28,"محل للإيجار في حي الروضة :

- المساحة : 28 م2 

- عداد الكهرباء مشترك 

للاستفسار :
0534356000
0501356000
0112356000",حي الروضة - الرياض
396,  حي العارض  ,30000,57,"معرض للاجار بمساحة ٥٦.٨٨م 

الموقع غير دقيق للمعاينه الرجاء التواصل على الواتس اب 

ابو نايف",حي العارض - الرياض
397,  شارع عبدالله بن عباس حي الروابي  ,13100,9,"المحل مساحة 5,5 في 4,5 المحل فتحة واحده  شارع عبدالله بن عباس الشارع تجاري",حي الروابي - الرياض
398,  شارع الأمير سلطان بن سلمان بن عبدالعزيز حي الورود  ,50000,80,للايجار محل فتحتين مع امكانية تأجير فتحة واحدة بنص القيمة على شارع الامير سلطان بن سلمان للتواصل واتس اب 0500069611,حي الورود - الرياض
399,  شارع علي البجادي حي الرمال  ,85000,120,"بدا الحجز في مجمع اتصالات الرمال

كل محل مساحته 120م (4م في 30م )

الايجار 85000 ريال


0568191192
0501690778
0501989339",حي الرمال - الرياض
400,  حي الدار البيضاء  ,12000,60,"يوجد ٣ محلات تجارية للايجار شارع الميناء  بسعر مناسبه
العقد ٤سنين مافي مشكله 
التوصل 
٠٥٩١٣٢٦١٠٩",حي الدار البيضاء - الرياض
406,  حي الحزم  ,30000,750,"السلام عليكم ورحمة الله وبركاته
يوجد لدينا محلات جديدة من أربع فتحات والتشطيب وتركيب الابواب على حسب رغبة المستأجر مناسب لعدة أنشطة  كصيدليات ومحل كماليات وسوبر ماركت أو أي  أنشطة أخرى موقع حديث و منطقة حيوية بالسكان
يمكن الإيجار بالكامل او بالفتحه",حي الحزم - الرياض
410,  حي المناخ  ,100000,300,"1675/1671 عقار رقم 
محل عباره عن 
خمس فتحات
السعر /              100الف وقابل للتفاوض
طريقة الدفع كل ست شهور او سنة


عزيزي العميل 
نسعد بخدمتــك 
واهلاً بك في حي المناخ 
يوجد لدينااا اكثر من 2200 عقار 
تحت ادارة التويجري العقارية 
وجميعهااا في حي ال...",حي المناخ - الرياض
411,  شارع الامير سعود بن عبدالعزيز ال سعود الكبير حي الملك فيصل  ,17000,40,محل حلاق للإيجار مساحة40 متر حي الملك فيصل  شارع سعود الكبير,حي الملك فيصل - الرياض
412,  حي ظهرة لبن  ,40000,900,"محلات للايجار الكل ايجارها يختلف عن المحل الواحد ويوجد مكاتب علوية نهاية شارع الطايف عدد المعارض والمحلات ٦
مع امكانية بيع المعارض كاملة",حي ظهرة لبن - الرياض
413,  شارع أبي جعفر المنصور حي غرناطة  ,30000,44,"بسم الله 
محل علي شارع ابو جعفر المنصور 
مساحه 4في 11 ويوجد حمام",حي غرناطة - الرياض
415,  حي النرجس  ,40000,123,"عدد 2 معرض للايجار حي النرجس

المساحة 123 م 

مكيفات اسبلت

السراميك جديد 

اللتواصل ابو مهند 0503250136

من 9 صباحا الى 8 مساء",حي النرجس - الرياض
417,  شارع ام عمارة حي بدر  ,10000,24,,حي بدر - الرياض
418,  حي الحزم  ,50000,156,"# العرض يشمل اربع فتحات (محلات) مساحة الفتحة (٣٩ متر مربع) مع دورة مياه ليصبح اجمالي مساحة الفتحات الاربع ١٥٦م.
# يوجد عداد كهرباء مستقل لكل فتحة (محل)
# المحلات المعروضة ارقام (٢)،(٣)،(٤)،(٥)
# السعر شامل المياه
# العمارة زاوية على شارعين (٣٠ متر مر...",حي الحزم - الرياض
420,  شارع جرير حي جرير  ,14000,112,,حي جرير - الرياض
423,  حي القيروان  ,23000,37,"محلين للايجار 
كل  محل مساحته 37 
على شارع تجاري 36
السعر للمحل دفعتين",حي القيروان - الرياض
427,  حي العارض  ,15000,45,"السلام عليكم
محلات للأجار في حي الامانه مساحه 50 م شارع 30 م الوجه جنوب سعر اجار 15 الف",حي العارض - الرياض
429,  شارع عبدالله المويس حي الرمال  ,30000,30,"محل للإيجار السنوي دفعتين 
شارع عرض 30 
شارع عبدالله المويس الرمال الواحه


لدى إعمار نجد للخدمات العقارية",حي الرمال - الرياض
430,  شارع نجران حي ظهرة لبن  ,20000,50,محل للايجار شارع نجران,حي ظهرة لبن - الرياض
433,"  شارع السمح بن مالك, الدفاع,  ",80000,240,يوجد لدينا معارض مميزه للإيجار بموقع متميز يربط بين طريق الخرج القديم والجديد ومقابل إسكان طريق الخرج رقم (١) وغرب إسكان القوات البحريه  مغطاة بشبكه الدفاع المدني ومكيفه تكييف كامل مكيفات ماركة ترين الأمريكيه ويوجد مساحات مختلفه  ومتنوعه وبإيجارات من...,حي الدفاع - الرياض
435,  طريق الامير طلال بن عبدالعزيز حي الناصرية  ,10000,1000,,حي الفاخرية - الرياض
437,    حي المهدية  ,700000,1080,"تجاريه 
عدد الفتحات 8 فتحات مقاس كل فتحه 21×6.30 
ثلاث أدوار على شارعين
الرياض حي المهدية طريق السيل الكبير،
الايجار بالكامل لايوجد تجزئه اما عن سعر المبنى كامل
 (١٣٠٠٠٠٠)ميلون وثلاث ميه قابل للتفاوض
للإستفسار  على هذا الرقم او الرقم الرئيسي للمكتب ا...",حي المهدية - الرياض
438,  طريق عرفات حي بدر  ,100000,900,"محلات للايجار مكونه من 8 فتحات
مساحه 900 متر وطول على الشارع 32م
يوجد فيها مكيفات مركزيه كامل 
فتره سماح 3 اشهر للمستاجر 
ايجارها مائه الف ريال غير شامل القيمه المضافه 

💫شعارنا 
💫نستقبل العرض وننحقق الطلب 💫

 🏁 موقعنا الشفاء شارع عرفات قبل مطعم ...",حي بدر - الرياض
440,  طريق عثمان بن عفان حي النزهة  ,45000,130,"شقق مكتبيه فاخره للايجار
     في حي النزهه
المساحه ١٣٠م 
                          الموصفات
غرفتين * صاله * ٢دوره مياه
        موقع ممتاز جدا
على    طريق عثمان بن عفان
السعر  ٤٥ الف


ويوجد في نفس الموقع 
مساحه ١٠٠م  
بسعر.  ٣٥ الف",حي النزهة - الرياض
442,  شارع الشيخ عبدالعزيز بن عبدالرحمن بن بشر حي الخليج  ,130000,320,"10 محلات للايجار مساحه 320 م ٢   مساحة المحل الواحد 4×8  =   ٣٢ م
العمارة جديدة   الموقع شارع الشيخ عبدالعزيز بن بشر حي الخليج 
مقابل مجمع مدارس علوم الرياض
امكانية التأجير ل 5 محلات مع بعض   أو 10 محلات مع بعض",حي الخليج - الرياض
449,  شارع عسير حي ظهرة لبن  ,75000,300,"للايجار محلات حي لبن على شارع عسير
خمسه معارض كل معرض مساحه ٦٠ متر
إجمالي مساحه المعارض ٣٠٠ متر 
الايجار بالكامل 
سعر الايجار للمعرض  ١٥٠٠٠ الف 
مجموعة مركازك العقاريه",حي ظهرة لبن - الرياض
450,  شارع زمره حي قرطبة  ,1600000,2800,"مبنى عبارة عن مطعم ماكولات بحرية سابقاً  

موقع استثماري واعد بإذن الله لجميع الانشطة التجارية مثل المطاعم ومقاهي الكافيات الشهيرة والفخمة أطلالة على الطريق السريع الدمام وخالد بن الوليد موقع درجة اولى على طريق الدمام واجهه جنوب وطريق خالد بن الوليد ...",حي قرطبة - الرياض
451,  طريق خريص حي الندوة  ,50000,1200,محلات مكونه من ١٧ محل طوال المحل ٤×١٤ طريق خريص عند النظيم للايجار ليس فردي بلا عقد واحد السعر قابل للتفاوض للجادين المحلات تفتح شمال وفيه منها يفتح شرق,حي الجنادرية - الرياض
453,  شارع محمد علي جناح حي اليرموك  ,12000,48,"محل للأيجار حي اليرموك  / شارع محمد علي جناح
المساحة / ٤٨ م
أطوال / ٤ × ١٢",حي اليرموك - الرياض
454,  شارع عسير حي ظهرة لبن  ,17000,900,"للايجار 3 فتحات بشارع عسير
ايجار كل محل / 17 الف",حي ظهرة لبن - الرياض
455,  طريق الملك عبدالله حي الواحة  ,150000,120,"فتحتين  محلات علي طريق الملك عبدالله 
موقع مميز 
بجوار مايسترو بيتزا 
المساحه 120م 
للتواصل 0552339770",حي الواحة - الرياض
459,  حي الياسمين  ,450000,5000,"صالات عدد 12 كل صاله ومزانين  450 م بسعر 1000 ريال للمتر 
وشقق فندقيه للايجار بالكامل
 100 غرفه بتصميم راقي جدا
مواقف قبو وخارجيه ل 300 سياره",حي الياسمين - الرياض
464,  شارع المسراب حي اليرموك  ,30000,36,,حي اليرموك - الرياض
468,  شارع احمد بن فارس حي ثليم  ,16000,50,محل للايجار بشارع الدركتر بحي ثليم,حي ثليم - الرياض
472,  شارع محمد رشيد رضا حي الدار البيضاء  ,65000,245,صالتين  ميزانين  كل صاله بمساحه 245متر,حي الدار البيضاء - الرياض
476,  شارع بلال بن رباح حي طويق  ,50000,150,فتحات لى الايجار وشقق جديده,حي طويق - الرياض
477,  شارع الأمير محمد بن فيصل بن تركي حي القدس  ,96000,96,✔️معارض للايجار 🔹عظم غير مجهزه داخليا🔹 العدد محدود بمجمع بوليفارد القدس مخطط الراجحي مساحات مختلفه حسب المرفق سعر المتر التاجيري يبدا من 900 ريال🟦 عظم( غير مجهزه داخليا ) 🟦 المستاجر يقوم بالتجهيز والتاثيث حسب رغبته مساحات تبدا من 96 متر الى132 مت...,حي القدس - الرياض
478,  طريق السيل الكبير حي المهدية  ,130000,150,"صالات ميزانين عدد 11 صاله كل صاله 150متر
17مكتب  اداري  68 متر",حي المهدية - الرياض
479,  شارع الذهبي حي طويق  ,15000,44,"محلات للإيجار مساحة المحل الواحد [ 10,5 * 4,20 ]",حي طويق - الرياض
480,  حي الخليج  ,160000,535,معارض تجارية للايجار .مساحة 535  م .الموقع شارع جويبر حي الخليج,حي الخليج - الرياض
481,  طريق الامام سعود بن فيصل حي الصحافة  ,28000,32,"محل للإيجار بشارع الأمير سلمان بن محمد
حي الصحافة
مساحته 4 في 8
=32متر. الايجار28الف

للتواصل 0505490882",حي الصحافة - الرياض
486,"  شارع الانوار, النظيم,  ",25000,32,محلات عماره تجاريه شقق مفروشه بحي الندوة ٥ فتحات ٣ فتحات ٤*٨ فتحتين ٣*٨ مفتوحه على بعض شارع الانوار مقابل جامعة الامير نايف العربيه ومدينة تدريب الامن العام من جهة الشرق ٢٥٠٠٠ ريال للفتحه الواحده وقابله للتفاوض حسب نوع النشاط او الدفعات,حي النظيم - الرياض
488,  شارع خالد بن الوليد حي الروضة  ,60000,120,"0505291466 واتس اب وتحديد موعد فقط


معرض للايجار ( يتكون من فتحتين وكل فتحة 4 * 15 ) 
=========
      
معرضين بمساحة 120 م على شارع خالد بن الوليد(انكاس)على شارعين( زاوية ) مؤجر سابقا لمحل عطور  

ينميز الموقع بقربة لاهم شوارع الروضة خالد بن الوليد ...",حي الروضة - الرياض
494,  شارع النجاح حي المونسية  ,50000,87,"صالات ميزان عدد  10 فاتحات   

مساحه ٨٧م

وجها شرقيه شارع 60م

(حي المونسيه)",حي المونسية - الرياض
495,  حي الياسمين  ,1200000,1251,"مجمع كورنرز 

صاله ميزانين مع مساحات خارجيه بالطابق العلوي تتيح للمستأجر وضع جلسات خارجيه  مرتفعه مطله على طريق انس بن مالك و ابو بكر الصديق 
المعرض يحتوي على ٣ طوابق مع سطح و طلبات سيارات بمساحة اجماليه 1251م 

المستأجرين حالياً:

جافا تايم ، محمصه ...",حي النرجس - الرياض
496,  شارع جرير حي جرير  ,15000,45,"للايجار محل بحي جرير في شارع حيوي

اذا كنت تبحث على الفرص الذهبية النادرة هنا ستجد كل ما تلبي احتياجك لتنمية استثمارك بإيراد فوري مضمونة بعد الله سبحانه.

مواصفات الفتحة:
- دورة مياه
- مرخص من البلدية
- شارع عرض 30م

الموقع استراتيجي مليئ بالكثافة ال...",حي جرير - الرياض
497,  حي الخليج  ,16500,44,"محل تجاري ، على طريق  الشيخ جابر الصباح 
تحت عمارة عزاب ، الايجار على دفعتين
التواصل على الوتساب فقط 
0592254944",حي الخليج - الرياض
498,  شارع سفيان بن الحكم حي ظهرة نمار  ,47000,112,,حي ظهرة نمار - الرياض
500,  حي العارض  ,30000,32,"محل للايجار بحي العارض شمال الرياض على شارع الستين شارع خالد بن بندر
طول المحل 8  والعرض 5
/ للاتصال على المالك المباشر 0509590112
السعر :30000",حي العارض - الرياض
501,  طريق الإمام عبدالله بن سعود بن عبدالعزيز حي غرناطة  ,150000,175,"للايجار عدد ٣ معارض ميزانين المساحة ١٧٥ متر 
العرض ٧ متر 
العمق ١٤ متر 
تصلح نشاط عيادات اسنان وتجميل او كافيه او مختبر 
يتميز الموقع بوفرة المواقف 
للتواصل 0500300131",حي غرناطة - الرياض
502,  الطريق الدائري الشرقي الفرعي حي الفيصلية  ,400000,660,"صالات تجارية كبيرة وجديدة للايجار
تقع الصالات على الدائري الشرقي مباشرة وخلفها مباشرة صناعية التقنية  

نسعد بخدمتكم ..
0537205555",حي الفيصلية - الرياض
504,  شارع الامير سعود بن عبد العزيز ال سعود الكبير حي القدس  ,130000,180,"معارض مفتوحه للايجار بحي القدس 
٥فتحات 
طول على الشارع ٢٠
عمق ١٠

مكتب تميز الابداع 
٠٥٥٤٤٦٤٦٩٨
٠٥٠١٢٣١٢٥٦",حي القدس - الرياض
506,  شارع العليا حي الملك فهد  ,603250,635,"معارض للايجارفي مركز رياض العليا و بمساحات مختلفه تبدا من (270)متر الى(650)متر بأسعار تنافسيه سعر المتر 950ريال 

لدى شركة طموح العقارية 
920010529
0503309938",حي الملك فهد - الرياض
508,  شارع نجم الدين الايوبي حي طويق  ,80000,150,"عدد المعرض خمسة صالات ..
.
مساحة كل معرض 150م تقريباً ميزانين

الموقع شارع نجم الدين الايوبي قبل اشارة شارع عبد الرحمن بن سعود باتجاه الغرب ..

. 
عقد مفتوح الى 5 سنوات + 3 أشهر تأسيس 


لتواصل:-
0553535922",حي طويق - الرياض
